cause_of_death,category_human,train_test
disorders of galactose metabolism,none,train
disorders of glossopharyngeal nerve,none,train
disorders of glycine metabolism,none,train
disorders of hypoglossal nerve,none,test
disorders of initiating and maintaining sleep [insomnias],none,train
disorders of iron metabolism,none,train
disorders of lysine and hydroxylysine metabolism,none,train
disorders of magnesium metabolism,none,train
disorders of meninges not elsewhere classified,none,train
disorders of multiple cranial nerves,none,train
disorders of optic nerve not elsewhere classified,none,train
disorders of ornithine metabolism,none,train
disorders of other specified cranial nerves,none,train
disorders of phosphorus metabolism and phosphatases,none,train
disorders of plasma-protein metabolism not elsewhere classified,none,train
disorders of pyruvate metabolism and gluconeogenesis,none,test
disorders of sulfur-bearing amino-acid metabolism,none,train
disorders of tyrosine metabolism,none,train
disorders of urea cycle metabolism,none,train
disorders of vagus nerve,none,test
disorders of zinc metabolism,none,train
dissection of aorta [any part],none,train
dissection of cerebral arteries nonruptured,cerebrovascular disease,train
disseminated aspergillosis,none,train
disseminated cryptococcosis,none,train
disseminated herpesviral disease,none,train
disseminated mucormycosis,none,train
disseminated strongyloidiasis,none,train
disseminated zoster,none,train
dissociative [conversion] disorder unspecified,none,train
diverticular disease of both small and large intestine with perforation and abscess,none,train
diverticular disease of intestine part unspecified with perforation and abscess,none,train
diverticular disease of intestine part unspecified without perforation or abscess,none,test
diverticular disease of large intestine with perforation and abscess,none,train
diverticular disease of large intestine without perforation or abscess,none,train
diverticular disease of small intestine with perforation and abscess,none,test
diverticular disease of small intestine without perforation or abscess,none,train
diverticulum of bladder,none,train
diverticulum of oesophagus,none,train
diverticulum of oesophagus acquired,none,train
dorsalgia unspecified,none,train
dorsopathy unspecified,none,train
double heterozygous sickling disorders,none,test
double inlet ventricle,none,test
double outlet right ventricle,none,train
down syndrome unspecified,none,train
dressler syndrome,ischaemic heart disease,train
driver injured in collision with other and unspecified motor vehicles in nontraffic accident,none,train
driver injured in collision with other and unspecified motor vehicles in traffic accident,none,train
driver of all-terrain or other off-road motor vehicle injured in nontraffic accident,none,train
driver of all-terrain or other off-road motor vehicle injured in traffic accident,none,test
driver of special agricultural vehicle injured in nontraffic accident,none,test
driver of special agricultural vehicle injured in traffic accident,none,train
driver of special construction vehicle injured in nontraffic accident,none,train
driver of special construction vehicle injured in traffic accident,none,train
driver of special industrial vehicle injured in nontraffic accident,none,train
driver of special industrial vehicle injured in traffic accident,none,test
drug or medicament unspecified,none,train
drug-induced acute pancreatitis,none,train
drug-induced adrenocortical insufficiency,none,train
drug-induced aplastic anaemia,none,train
drug-induced cushing syndrome,none,train
drug-induced dystonia,none,test
drug-induced hypoglycaemia without coma,none,train
drug-induced hypopituitarism,none,train
drug-induced interstitial lung disorders unspecified,none,test
drug-induced myopathy,none,train
drug-induced polyneuropathy,none,test
drug-induced thyroiditis,none,train
duodenal ulcer acute with both haemorrhage and perforation,none,train
duodenal ulcer acute with haemorrhage,none,train
duodenal ulcer acute with perforation,none,test
duodenal ulcer acute without haemorrhage or perforation,none,train
duodenal ulcer chronic or unspecified with both haemorrhage and perforation,none,train
duodenal ulcer chronic or unspecified with haemorrhage,none,test
duodenal ulcer chronic or unspecified with perforation,none,test
duodenal ulcer chronic without haemorrhage or perforation,none,train
duodenal ulcer unspecified as acute or chronic without haemorrhage or perforation,none,train
duodenitis,none,train
duplications with other complex rearrangements,none,test
during aspiration puncture and other catheterization,none,train
during endoscopic examination,none,test
during heart catheterization,none,train
during injection or immunization,none,train
during kidney dialysis or other perfusion,none,test
during other surgical and medical care,none,train
during surgical operation,none,train
during unspecified surgical and medical care,none,train
dysarthria and anarthria,none,test
dyskinesia of oesophagus,none,test
dyskinetic cerebral palsy,none,train
dysphasia and aphasia,none,test
dysplasia of prostate,none,train
dystonia unspecified,none,test
early-onset cerebellar ataxia,none,train
eating disorder unspecified,none,train
ebstein anomaly,none,train
echinococcosis other and unspecified,none,test
echinococcosis unspecified of liver,none,train
echinococcus granulosus infection unspecified,none,train
echinococcus multilocularis infection unspecified,none,test
eclampsia unspecified as to time period,none,test
ectodermal dysplasia anhidrotic,none,test
ectopic acth syndrome,none,train
ectopic kidney,none,test
ectopic pregnancy unspecified,none,train
eczema herpeticum,none,train
edwards syndrome unspecified,none,test
ehlers-danlos syndrome,none,test
embolism and thrombosis of abdominal aorta,none,train
embolism and thrombosis of arteries of extremities unspecified,none,train
embolism and thrombosis of arteries of lower extremities,none,train
embolism and thrombosis of arteries of upper extremities,none,train
embolism and thrombosis of iliac artery,none,test
embolism and thrombosis of other and unspecified parts of aorta,none,train
embolism and thrombosis of other arteries,none,train
embolism and thrombosis of other specified veins,none,train
embolism and thrombosis of renal vein,none,train
embolism and thrombosis of unspecified artery,none,train
embolism and thrombosis of unspecified vein,none,train
embolism and thrombosis of vena cava,none,train
emphysema unspecified,pulmonary disease,train
encephalitis myelitis and encephalomyelitis unspecified,none,train
encephalocele unspecified,none,train
encephalopathy unspecified,none,test
enchondromatosis,none,train
end-stage renal disease - from 2008 classification,none,test
endocardial fibroelastosis,none,test
endocrine disorder unspecified,none,train
endocrine nutritional and metabolic diseases complicating pregnancy childbirth and the puerperium,none,train
endometrial glandular hyperplasia,none,train
endometriosis unspecified,none,test
endomyocardial eosinophilic disease,none,test
endotracheal tube wrongly placed during anaesthetic procedure,none,train
enlarged lymph nodes unspecified,none,train
enteritis due to yersinia enterocolitica,none,train
enterocolitis due to clostridium difficile,none,test
enteroinvasive escherichia coli infection,none,train
enteropathy-type intestinal t-cell lymphoma,none,test
enteroptosis,none,test
enteroviral encephalitis,none,train
enteroviral meningitis,none,train
enterovirus infection unspecified site,none,test
entropion and trichiasis of eyelid,none,train
eosinophilia,none,test
eosinophilic cellulitis [wells],none,train
epidermal cyst,none,train
epidermal thickening unspecified,none,train
epidermolysis bullosa dystrophica,none,test
epidermolysis bullosa letalis,none,train
epidermolysis bullosa unspecified,none,test
epilepsy unspecified,none,test
episcleritis,none,train
epistaxis,none,train
erythema annulare centrifugum,none,test
erythema intertrigo,none,train
erythema multiforme unspecified,none,train
erythematous condition unspecified,none,train
erythrasma,none,train
essential haemorrhagic thrombocythaemia,none,train
essential thrombocytosis - from 2008 classification,none,test
essential tremor,none,train
excessive and frequent menstruation with regular cycle,none,train
exomphalos,none,train
exstrophy of urinary bladder,none,train
extradural and subdural abscess unspecified,none,train
extramedullary plasmacytoma,none,train
extranodal marginal zone b-cell lymphoma of mucosa-associated lymphoid tissue [malt-lyphoma],none,test
extranodal nk/t-cell lymphoma nasal type,none,train
extrapyramidal and movement disorder unspecified,none,test
extreme immaturity,none,train
extreme obesity with alveolar hypoventilation,none,test
extremely low birth weight,none,test
factitial dermatitis,none,train
failure to introduce or to remove other tube or instrument,none,test
familial chondrocalcinosis,none,train
familial dysautonomia [riley-day],none,train
farmer lung,none,train
fatigue fracture of vertebra,none,test
fatty change of liver not elsewhere classified,none,train
febrile convulsions,none,test
febrile neutrophilic dermatosis [sweet],none,train
feeding difficulties and mismanagement,none,train
feeding disorder of infancy and childhood,none,test
felty syndrome,none,train
female acute pelvic peritonitis,none,train
female genital prolapse unspecified,none,train
female genital tract fistula unspecified,none,test
female pelvic inflammatory disease unspecified,none,train
female pelvic peritoneal adhesions,none,train
female pelvic peritonitis unspecified,none,train
female with more than three x chromosomes,none,train
fetal alcohol syndrome dysmorphic,none,test
fetal hydantoin syndrome,none,train
fetus and newborn affected by breech delivery and extraction,none,test
fetus and newborn affected by chorioamnionitis,none,train
fetus and newborn affected by forceps delivery,none,train
fetus and newborn affected by maternal hypertensive disorders,none,train
fetus and newborn affected by maternal infectious and parasitic diseases,none,train
fetus and newborn affected by maternal nutritional disorders,none,train
fetus and newborn affected by maternal renal and urinary tract diseases,none,train
fetus and newborn affected by maternal use of alcohol,none,train
fetus and newborn affected by maternal use of drugs of addiction,none,train
fetus and newborn affected by multiple pregnancy,none,test
fetus and newborn affected by oligohydramnios,none,train
fetus and newborn affected by other abnormalities of membranes,none,train
fetus and newborn affected by other and unspecified conditions of umbilical cord,none,train
fetus and newborn affected by other and unspecified morphological and functional abnormalities of placenta,none,train
fetus and newborn affected by other compression of umbilical cord,none,train
fetus and newborn affected by other forms of placental separation and haemorrhage,none,train
fetus and newborn affected by other malpresentation malposition and disproportion during labour and delivery,none,train
fetus and newborn affected by other maternal circulatory and respiratory diseases,none,train
fetus and newborn affected by other maternal complications of pregnancy,none,train
fetus and newborn affected by other maternal conditions,none,train
fetus and newborn affected by other specified complications of labour and delivery,none,train
fetus and newborn affected by placenta praevia,none,test
fetus and newborn affected by placental transfusion syndromes,none,train
fetus and newborn affected by premature rupture of membranes,none,train
fetus and newborn affected by prolapsed cord,none,train
fever unspecified,none,train
fibroadenosis of breast,none,train
fibroblastic disorder unspecified,none,test
fibromyalgia,none,train
fibrothorax,none,train
first degree perineal laceration during delivery,none,test
fistula of bile duct,none,test
fistula of gallbladder,none,test
fistula of intestine,none,train
fistula of joint,none,test
fistula of stomach and duodenum,none,train
fistula of vagina to large intestine,none,train
flaccid neuropathic bladder not elsewhere classified,none,train
flaccid tetraplegia,none,test
flexion deformity,none,train
fluid overload,none,train
folate deficiency anaemia unspecified,none,test
follicular disorder unspecified,none,train
follicular lymphoma grade i,none,train
follicular lymphoma grade ii,none,train
follicular lymphoma grade iii unspecified,none,train
follicular lymphoma grade iiib,none,test
follicular lymphoma unspecified,none,test
foodborne clostridium perfringens [clostridium welchii] intoxication,none,train
fragile x chromosome,none,test
functional intestinal disorder unspecified,none,train
gallstone ileus,none,train
gammaherpesviral mononucleosis,none,train
gangrene and necrosis of lung,pulmonary disease,test
gas gangrene,none,test
gastric diverticulum,none,train
gastric ulcer acute with both haemorrhage and perforation,none,train
gastric ulcer acute with haemorrhage,none,train
gastric ulcer acute with perforation,none,train
gastric ulcer acute without haemorrhage or perforation,none,test
gastric ulcer chronic or unspecified with both haemorrhage and perforation,none,train
gastric ulcer chronic or unspecified with haemorrhage,none,train
gastric ulcer chronic or unspecified with perforation,none,train
gastric ulcer chronic without haemorrhage or perforation,none,train
gastric ulcer unspecified as acute or chronic without haemorrhage or perforation,none,train
gastric varices,none,train
gastritis unspecified,none,train
gastro-oesophageal laceration-haemorrhage syndrome,none,train
gastro-oesophageal reflux disease with oesophagitis,none,train
gastro-oesophageal reflux disease without oesophagitis,none,train
gastroduodenitis unspecified,none,train
gastroenteritis and colitis due to radiation,none,train
gastroenteritis and colitis of unspecified origin,none,train
gastrointestinal haemorrhage unspecified,none,train
gastrointestinal mucormycosis,none,train
gastrojejunal ulcer acute with haemorrhage,none,train
gastrojejunal ulcer chronic or unspecified with both haemorrhage and perforation,none,train
gastrojejunal ulcer chronic or unspecified with haemorrhage,none,train
gastrojejunal ulcer chronic or unspecified with perforation,none,train
gastrojejunal ulcer unspecified as acute or chronic without haemorrhage or perforation,none,train
gastroschisis,none,train
general- and plastic-surgery devices associated with adverse incidents surgical instruments materials and devices including sutures,none,train
generalized and unspecified atherosclerosis,none,train
generalized enlarged lymph nodes,none,train
generalized idiopathic epilepsy and epileptic syndromes,none,train
generalized oedema,none,train
generalized pustular psoriasis,none,train
generalized skin eruption due to drugs and medicaments,none,train
geniculate ganglionitis,none,train
giardiasis [lambliasis],none,test
gilbert syndrome,none,train
glanders,none,train
glaucoma unspecified,none,train
glider nonpowered accident injuring occupant,none,train
glossitis,none,test
glossodynia,none,test
glycogen storage disease,none,test
gm2 gangliosidosis,none,train
gonarthrosis unspecified,none,train
gonococcal infection unspecified,none,train
gout due to impairment of renal function,none,test
gout unspecified,none,train
grand mal seizures unspecified with or without petit mal,none,test
granuloma and granuloma-like lesions of oral mucosa,none,train
granulomatous disorder of skin and subcutaneous tissue unspecified,none,train
granulomatous hepatitis not elsewhere classified,none,train
guillain-barre syndrome,none,test
haemangioma any site,none,test
haemarthrosis,none,train
haematemesis,none,test
haematometra,none,test
haemolytic-uraemic syndrome,none,train
haemopericardium not elsewhere classified,none,train
haemoperitoneum,none,train
haemophagocytic lymphohistiocytosis,none,train
haemophagocytic syndrome infection-associated,none,train
haemophilus influenzae infection unspecified site,none,train
haemophilus meningitis,none,train
haemoptysis,none,train
haemorrhage from other sites in respiratory passages,none,train
haemorrhage in early pregnancy unspecified,none,train
haemorrhage of anus and rectum,none,test
haemorrhagic condition unspecified,none,train
haemorrhagic disorder due to circulating anticoagulants,none,train
haemorrhoids unspecified from 2014 onwards - previously in i84,none,test
haemothorax,none,test
hairy-cell leukaemia,none,train
hallervorden-spatz disease,none,test
hallux valgus acquired,none,test
hang-glider accident injuring occupant,none,train
hearing loss unspecified,none,train
heart disease unspecified,none,train
heart failure unspecified,none,train
helicopter accident injuring occupant,none,train
hellp syndrome,none,train
helminthiasis unspecified,none,train
hemiplegia unspecified,none,train
hepatic failure unspecified,none,test
hepatic fibrosis,none,train
hepatic fibrosis with hepatic sclerosis,none,train
hepatic sclerosis,none,train
hepatic veno-occlusive disease,none,train
hepatitis a without hepatic coma,none,train
hepatorenal syndrome,none,train
hepatosplenic t-cell lymphoma,none,train
hereditary and idiopathic neuropathy unspecified,none,train
hereditary ataxia unspecified,none,test
hereditary deficiency of other clotting factors,none,train
hereditary elliptocytosis,none,train
hereditary erythropoietic porphyria,none,train
hereditary factor xi deficiency,none,train
hereditary haemolytic anaemia unspecified,none,train
hereditary haemorrhagic telangiectasia,none,train
hereditary hypogammaglobulinaemia,none,train
hereditary lymphoedema,none,test
hereditary motor and sensory neuropathy,none,train
hereditary nephropathy not elsewhere classified diffuse crescentic glomerulonephritis,none,test
hereditary nephropathy not elsewhere classified diffuse mesangiocapillary glomerulonephritis,none,train
hereditary nephropathy not elsewhere classified focal and segmental glomerular lesions,none,train
hereditary nephropathy not elsewhere classified unspecified,none,train
hereditary sideroblastic anaemia,none,train
hereditary spastic paraplegia,none,test
hereditary spherocytosis,none,test
heredofamilial amyloidosis unspecified,none,train
herpesviral encephalitis,none,train
herpesviral infection unspecified,none,train
hidradenitis suppurativa,none,test
hirschsprung disease,none,test
histiocytic and mast cell tumours of uncertain and unknown behaviour,none,test
histiocytic sarcoma,none,train
histoplasmosis duboisii,none,train
histoplasmosis unspecified,none,test
hiv disease resulting in burkitt lymphoma,none,train
hiv disease resulting in candidiasis,none,train
hiv disease resulting in cytomegaloviral disease,none,train
hiv disease resulting in encephalopathy,none,train
hiv disease resulting in haematological and immunological abnormalities not elsewhere classified,none,test
hiv disease resulting in kaposi sarcoma,none,test
hiv disease resulting in multiple diseases classified elsewhere,none,train
hiv disease resulting in multiple infections,none,test
hiv disease resulting in multiple malignant neoplasms,none,train
hiv disease resulting in mycobacterial infection,none,train
hiv disease resulting in other bacterial infections,none,train
hiv disease resulting in other infectious and parasitic diseases,none,train
hiv disease resulting in other malignant neoplasms,none,train
hiv disease resulting in other malignant neoplasms of lymphoid haematopoietic and related tissue,none,test
hiv disease resulting in other mycoses,none,train
hiv disease resulting in other specified conditions,none,train
hiv disease resulting in other types of non-hodgkin lymphoma,none,test
hiv disease resulting in other viral infections,none,test
hiv disease resulting in pneumocystis jirovecii pneumonia,none,train
hiv disease resulting in unspecified malignant neoplasm,none,train
hiv disease resulting in wasting syndrome,none,train
hodgkin lymphoma unspecified,none,train
holoprosencephaly,none,train
horner syndrome,none,train
hourglass stricture and stenosis of stomach,none,test
human metapneumovirus pneumonia,none,train
hydantoin derivatives,none,train
hydrocele unspecified,none,test
hydrocephalus unspecified,none,train
hydronephrosis with renal and ureteral calculous obstruction,none,train
hydronephrosis with ureteral stricture not elsewhere classified,none,train
hydronephrosis with ureteropelvic junction obstruction,none,train
hydrops fetalis not due to haemolytic disease,none,train
hydrops of gallbladder,none,train
hydroureter,none,train
hyperaldosteronism unspecified,none,train
hyperchylomicronaemia,none,train
hypergammaglobulinaemia unspecified,none,train
hyperglycaemia unspecified,none,test
hyperimmunoglobulin e [ige] syndrome,none,test
hyperkalaemia,none,test
hyperlipidaemia unspecified,none,train
hyperosmolality and hypernatraemia,none,train
hyperostosis of skull,none,test
hyperparathyroidism unspecified,none,train
hypersensitivity angiitis,none,test
hypersensitivity pneumonitis due to other organic dusts,none,train
hypersensitivity pneumonitis due to unspecified organic dust,none,train
hypersplenism,none,train
hypertensive encephalopathy,cerebrovascular disease,train
hypertensive heart and renal disease unspecified,none,test
hypertensive heart and renal disease with both congestive heart failure and renal failure,none,test
hypertensive heart and renal disease with congestive heart failure,none,test
hypertensive heart and renal disease with renal failure,none,train
hypertensive heart disease with congestive heart failure,none,test
hypertensive heart disease without congestive heart failure,none,train
hypertensive renal disease with renal failure,none,train
hypertensive renal disease without renal failure,none,train
hypertrophy of salivary gland,none,train
hypertrophy of tonsils,none,train
hyperuricaemia without signs of inflammatory arthritis and tophaceous disease,none,test
hypo-osmolality and hyponatraemia,none,train
hypoglycaemia unspecified,none,train
hypokalaemia,none,train
hypomania,none,test
hypoparathyroidism unspecified,none,test
hypopituitarism,none,train
hypoplasia and dysplasia of lung,none,train
hypoplasia and dysplasia of spinal cord,none,train
hypoplastic left heart syndrome,none,train
hypoplastic right heart syndrome,none,train
hypospadias unspecified,none,test
hyposplenism,none,train
hypostatic pneumonia unspecified,pulmonary disease,test
hypotension due to drugs,none,test
hypotension unspecified,none,test
hypothalamic dysfunction not elsewhere classified,none,test
hypothermia not associated with low environmental temperature,none,train
hypothyroidism unspecified,none,train
hypovolaemic shock,none,train
hypoxic ischaemic encephalopathy of newborn,none,train
ichthyosis vulgaris,none,train
idiopathic acute pancreatitis,none,test
idiopathic aplastic anaemia,none,train
idiopathic aseptic necrosis of bone,none,train
idiopathic gout,none,train
idiopathic hypotension,none,test
idiopathic orofacial dystonia,none,test
idiopathic peripheral autonomic neuropathy,none,train
idiopathic progressive neuropathy,none,train
idiopathic thrombocytopenic purpura,none,test
ileus unspecified,none,train
iliac crest spur,none,train
immobility,none,train
immobility syndrome paraplegic,none,test
immunodeficiency following hereditary defective response to epstein-barr virus,none,train
immunodeficiency unspecified,none,train
immunodeficiency with predominantly antibody defects unspecified,none,train
immunoproliferative small intestinal disease,none,train
immunosuppressive agents,none,test
impetigo [any organism] [any site],none,train
incomplete uterovaginal prolapse,none,train
incontinentia pigmenti,none,test
indeterminate colitis,none,train
infantile spinal muscular atrophy type i [werdnig-hoffman],none,train
infarction of liver,none,train
infarction of spleen,none,test
infection of amniotic sac and membranes,none,train
infection of intervertebral disc pyogenic,none,train
infection of obstetric surgical wound,none,train
infection specific to the perinatal period unspecified,none,train
infections of kidney in pregnancy,none,train
infections of the genital tract in pregnancy,none,train
infectious mononucleosis unspecified,none,train
infective dermatitis,none,test
infective myocarditis,none,train
infective myositis,none,train
infective pericarditis,none,test
inflammatory conditions of jaws,none,train
inflammatory disease of prostate unspecified,none,test
inflammatory disease of uterus unspecified,none,train
inflammatory disorder of unspecified male genital organ,none,train
inflammatory disorders of other specified male genital organs,none,train
inflammatory disorders of scrotum,none,train
inflammatory liver disease unspecified,none,train
inflammatory myopathy not elsewhere classified,none,test
inflammatory polyarthropathy,none,test
inflammatory polyneuropathy unspecified,none,train
inflammatory polyps,none,train
inflammatory spondylopathy unspecified,none,train
influenza with other manifestations other influenza virus identified,none,train
influenza with other manifestations virus not identified,none,test
influenza with other respiratory manifestations other influenza virus identified,none,train
influenza with other respiratory manifestations virus not identified,none,train
influenza with pneumonia other influenza virus identified,none,test
influenza with pneumonia virus not identified,none,train
ingrowing nail,none,test
inhaled anaesthetics,none,train
iniencephaly,none,train
instantaneous death,none,train
insufficient intake of food and water due to self neglect,none,train
insulin-dependent diabetes mellitus with coma,none,test
insulin-dependent diabetes mellitus with ketoacidosis,none,train
insulin-dependent diabetes mellitus with multiple complications,none,train
insulin-dependent diabetes mellitus with neurological complications,none,train
insulin-dependent diabetes mellitus with ophthalmic complications,none,train
insulin-dependent diabetes mellitus with other specified complications,none,train
insulin-dependent diabetes mellitus with peripheral circulatory complications,none,train
insulin-dependent diabetes mellitus with renal complications,none,train
insulin-dependent diabetes mellitus with unspecified complications,none,train
insulin-dependent diabetes mellitus without complications,none,train
internal haemorrhoids with other complications until 2013 - then moved to k64,none,train
internal haemorrhoids without complication until 2013 - then moved to k64,none,train
interstitial and deep keratitis,none,train
interstitial cystitis chronic,none,test
interstitial emphysema,pulmonary disease,train
interstitial emphysema originating in the perinatal period,none,test
interstitial pulmonary disease unspecified,pulmonary disease,test
intervertebral disc disorder unspecified,none,test
intestinal adhesions [bands] with obstruction,none,train
intestinal capillariasis,none,train
intestinal malabsorption unspecified,none,train
intestinal obstruction due to inspissated milk,none,test
intestinal obstruction of newborn unspecified,none,train
intra-abdominal and pelvic swelling mass and lump,none,train
intracardiac thrombosis not elsewhere classified,none,test
intracerebral haemorrhage in brain stem,cerebrovascular disease,train
intracerebral haemorrhage in cerebellum,cerebrovascular disease,train
intracerebral haemorrhage in hemisphere cortical,cerebrovascular disease,train
intracerebral haemorrhage in hemisphere subcortical,cerebrovascular disease,test
intracerebral haemorrhage in hemisphere unspecified,cerebrovascular disease,train
intracerebral haemorrhage intraventricular,cerebrovascular disease,train
intracerebral haemorrhage multiple localized,cerebrovascular disease,test
intracerebral haemorrhage unspecified,cerebrovascular disease,train
intracerebral nontraumatic haemorrhage of fetus and newborn,none,train
intracranial abscess and granuloma,none,test
intracranial haemorrhage nontraumatic unspecified,cerebrovascular disease,train
intracranial nontraumatic haemorrhage of fetus and newborn unspecified,none,test
intracranial space-occupying lesion,none,train
intraductal carcinoma in situ,none,test
intrapartum haemorrhage with coagulation defect,none,train
intraspinal abscess and granuloma,none,test
intrauterine hypoxia unspecified,none,train
intraventricular nontraumatic haemorrhage grade 3 of fetus and newborn,none,test
intussusception,none,train
invasive pulmonary aspergillosis,none,train
iron deficiency,none,train
iron deficiency anaemia secondary to blood loss chronic,none,test
iron deficiency anaemia unspecified,none,train
iron preparations and other anti-hypochromic-anaemia preparations,none,train
irradiation cystitis,none,test
irritable bowel syndrome with diarrhoea,none,train
irritable bowel syndrome without diarrhoea,none,test
irritant contact dermatitis due to other agents,none,train
ischaemia and infarction of kidney,none,train
ischaemic cardiomyopathy,ischaemic heart disease,train
ischaemic infarction of muscle,none,train
ischiorectal abscess,none,test
isolated myocarditis,none,train
isolated proteinuria with specified morphological lesion unspecified,none,train
isomerism of atrial appendages,none,train
japanese encephalitis,none,train
joint derangement unspecified,none,train
joint disorder unspecified,none,test
juvenile arthritis unspecified,none,train
juvenile arthritis with systemic onset,none,test
juvenile dermatomyositis,none,test
juvenile myelomonocytic leukaemia,none,train
juvenile osteochondrosis of head of femur [legg-calv-perthes],none,train
juvenile osteochondrosis of pelvis,none,train
juvenile osteochondrosis of tarsus,none,train
juvenile rheumatoid arthritis,none,train
kaposi sarcoma of other sites,none,train
kaposi sarcoma of skin,none,train
kaposi sarcoma unspecified,none,train
karyotype 47xxx,none,test
keratitis unspecified,none,test
kernicterus unspecified,none,test
kidney dialysis,none,train
kinking and stricture of ureter without hydronephrosis,none,train
klinefelter syndrome unspecified,none,train
klippel-feil syndrome,none,train
kyphoscoliotic heart disease,none,train
labour and delivery complicated by fetal stress unspecified,none,train
labyrinthitis,none,train
lamellar ichthyosis,none,train
langerhans' cell histiocytosis not elsewhere classified - from 2008 classification,none,train
laryngeal spasm,none,train
laryngocele,none,train
late syphilis unspecified,none,train
late-onset cerebellar ataxia,none,train
left bundle-branch block unspecified,none,test
left sided colitis,none,test
left ventricular failure,none,test
legal execution,none,test
legal intervention involving firearm discharge,none,train
legal intervention involving other specified means,none,train
legal intervention involving sharp objects,none,train
legal intervention means unspecified,none,train
legionnaires disease,none,train
leiomyoma of uterus unspecified,none,train
leptospirosis icterohaemorrhagica,none,train
leptospirosis unspecified,none,train
lesch-nyhan syndrome,none,train
lesion of ulnar nerve,none,train
leukaemia unspecified,none,test
leukoplakia and other disturbances of oral epithelium including tongue,none,test
lichen planus unspecified,none,test
lichen sclerosus et atrophicus,none,train
lichen simplex chronicus,none,train
lipid storage disorder unspecified,none,test
lipodystrophy not elsewhere classified,none,train
lipomatosis not elsewhere classified,none,train
lipoprotein deficiency,none,test
listerial meningitis and meningoencephalitis,none,train
listerial sepsis,none,train
listeriosis unspecified,none,train
liver disease unspecified,none,test
liver disorders in pregnancy childbirth and the puerperium,none,train
lobar pneumonia unspecified,none,train
lobulated fused and horseshoe kidney,none,train
local anaesthetics,none,train
local antifungal anti-infective and anti-inflammatory drugs not elsewhere classified,none,test
local infection of skin and subcutaneous tissue unspecified,none,test
localization-related focalpartial idiopathic epilepsy and epileptic syndromes with seizures of localized onset,none,train
localization-related focalpartial symptomatic epilepsy and epileptic syndromes with complex partial seizures,none,train
localization-related focalpartial symptomatic epilepsy and epileptic syndromes with simple partial seizures,none,test
localized connective tissue disorder unspecified,none,train
localized enlarged lymph nodes,none,train
localized salmonella infections,none,train
localized swelling mass and lump neck,none,test
locked-in syndrome from 2016,none,test
lumbar and other intervertebral disc disorders with myelopathy,none,test
lumbar spina bifida without hydrocephalus,none,train
lyme disease,none,train
lymphangioma any site,none,train
lymphangitis,none,train
lymphoblastic diffuse lymphoma,none,train
lymphocyte-rich classical hodgkin lymphoma,none,train
lymphocytic choriomeningitis,none,train
lymphoedema not elsewhere classified,none,train
lymphoid leukaemia unspecified,none,test
lymphosarcoma - from 2008,none,train
macleod syndrome,pulmonary disease,test
macrocephaly,none,test
macroglossia,none,train
magnesium deficiency,none,train
major histocompatibility complex class ii deficiency,none,test
malabsorption due to intolerance not elsewhere classified,none,train
malformation of coronary vessels,none,train
malformation of urachus,none,train
malformations of aqueduct of sylvius,none,train
malignant immunoproliferative disease unspecified,none,train
malignant mast cell tumour,none,test
malignant neoplasm accessory sinus unspecified,none,train
malignant neoplasm acoustic nerve,none,test
malignant neoplasm adrenal gland unspecified,none,train
malignant neoplasm ampulla of vater,none,train
malignant neoplasm anal canal,none,train
malignant neoplasm angiosarcoma of liver,none,train
malignant neoplasm anterior floor of mouth,oral cavity cancer,test
malignant neoplasm anterior mediastinum,none,test
malignant neoplasm anterior surface of epiglottis,none,train
malignant neoplasm anterior two-thirds of tongue part unspecified,oral cavity cancer,test
malignant neoplasm anterior wall of bladder,bladder cancer,test
malignant neoplasm anterior wall of nasopharynx,none,train
malignant neoplasm anus unspecified,none,train
malignant neoplasm aortic body and other paraganglia,none,train
malignant neoplasm appendix,colorectal cancer,train
malignant neoplasm aryepiglottic fold hypopharyngeal aspect,none,train
malignant neoplasm ascending colon,colorectal cancer,test
malignant neoplasm axillary tail of breast,none,train
malignant neoplasm biliary tract unspecified,none,train
malignant neoplasm bladder neck,bladder cancer,test
malignant neoplasm bladder unspecified,bladder cancer,train
malignant neoplasm body of pancreas,pancreatic cancer,train
malignant neoplasm body of penis,none,train
malignant neoplasm body of stomach,stomach cancer,train
malignant neoplasm bone and articular cartilage unspecified,none,train
malignant neoplasm bones of skull and face,none,test
malignant neoplasm border of tongue,oral cavity cancer,test
malignant neoplasm brain stem,none,train
malignant neoplasm brain unspecified,none,train
malignant neoplasm branchial cleft,none,train
malignant neoplasm breast unspecified,none,train
malignant neoplasm broad ligament,none,test
malignant neoplasm bronchus or lung unspecified,lung cancer,train
malignant neoplasm caecum,colorectal cancer,train
malignant neoplasm cardia,stomach cancer,train
malignant neoplasm carotid body,none,train
malignant neoplasm cauda equina,none,train
malignant neoplasm central nervous system unspecified,none,train
malignant neoplasm cerebellum,none,test
malignant neoplasm cerebral meninges,none,train
malignant neoplasm cerebral ventricle,none,train
malignant neoplasm cerebrum except lobes and ventricles,none,train
malignant neoplasm cervical part of oesophagus,esophageal cancer,test
malignant neoplasm cervix uteri unspecified,none,train
malignant neoplasm cheek mucosa,oral cavity cancer,train
malignant neoplasm choroid,none,train
malignant neoplasm ciliary body,none,train
malignant neoplasm clitoris,none,test
malignant neoplasm cloacogenic zone,none,train
